,0
0,6.421225547790527
1,7.804263591766357
2,7.871901512145996
3,7.203467845916748
4,7.4638895988464355
5,7.438893795013428
6,6.885321617126465
7,8.254485130310059
8,12.649435997009277
9,12.697226524353027
10,13.378018379211426
11,9.138590812683105
12,11.872648239135742
13,11.946135520935059
14,11.503270149230957
15,12.000954627990723
16,10.901307106018066
17,12.581583976745605
18,11.257107734680176
19,12.789332389831543
20,20.90026092529297
21,11.246624946594238
22,17.468505859375
23,15.5511474609375
24,13.275135040283203
25,17.456138610839844
26,20.278553009033203
27,19.6678409576416
28,19.318405151367188
29,13.416248321533203
30,16.999675750732422
31,18.395183563232422
32,15.370131492614746
33,15.65634536743164
34,18.647518157958984
35,14.748991012573242
36,19.31641960144043
37,14.529556274414062
38,16.756145477294922
39,17.283296585083008
40,17.91848373413086
41,16.127391815185547
42,18.00482749938965
43,23.56658935546875
