,0
0,0.00864139199256897
1,0.11179561913013458
2,0.046482235193252563
3,0.11538052558898926
4,0.07664269208908081
5,0.07024306058883667
6,0.06526988744735718
7,0.019493401050567627
8,0.13889002799987793
9,0.4837571382522583
10,0.027572989463806152
11,0.3366285562515259
12,0.20171105861663818
13,2.272348642349243
14,0.03048717975616455
15,0.1805429458618164
16,1.332263469696045
17,0.9109275341033936
18,0.41179990768432617
19,1.1768739223480225
20,1.015106439590454
21,2.3068671226501465
22,0.7907876968383789
23,0.7585430145263672
24,2.7111258506774902
25,0.27486228942871094
26,0.15562963485717773
27,0.4118781089782715
28,1.8761005401611328
29,3.9183664321899414
30,1.0487051010131836
31,0.23145103454589844
32,2.990750312805176
33,0.7663822174072266
34,2.10294246673584
35,2.431717872619629
36,0.9878978729248047
37,0.62408447265625
38,1.837203025817871
39,3.589733123779297
40,2.2740888595581055
41,3.216832160949707
42,1.2179794311523438
43,2.3736982345581055
