,0
0,2.121225357055664
1,1.8042635917663574
2,1.5719013214111328
3,0.703467845916748
4,0.9638895988464355
5,0.43889379501342773
6,0.6146783828735352
7,0.4544849395751953
8,4.649435997009277
9,3.1972265243530273
10,3.378018379211426
11,1.1614093780517578
12,1.2726478576660156
13,0.7461357116699219
14,0.20326995849609375
15,0.4009542465209961
16,0.998692512512207
17,0.5815839767456055
18,0.7428922653198242
19,0.21066761016845703
20,7.900260925292969
21,1.8533754348754883
22,3.968505859375
23,1.5511474609375
24,0.9248647689819336
25,2.4561386108398438
26,5.278553009033203
27,4.667840957641602
28,4.3184051513671875
29,1.5837516784667969
30,1.4996757507324219
31,2.395183563232422
32,0.6298685073852539
33,0.3436546325683594
34,2.1475181579589844
35,2.251008987426758
36,2.3164196014404297
37,2.4704437255859375
38,0.24385452270507812
39,2.216703414916992
40,2.5815162658691406
41,5.372608184814453
42,3.9951725006103516
43,1.56658935546875
