,0
0,2.001185417175293
1,6.589546203613281
2,3.10292911529541
3,1.5260295867919922
4,1.5707836151123047
5,1.459768295288086
6,3.112431526184082
7,0.3174152374267578
8,1.2677574157714844
9,3.8152503967285156
10,1.0475215911865234
11,1.7955856323242188
12,0.7866992950439453
13,0.6387195587158203
14,0.5353050231933594
15,1.938131332397461
16,2.7110939025878906
17,0.9304656982421875
18,1.440561294555664
19,3.6450252532958984
20,0.28387451171875
21,1.3625011444091797
22,0.7360725402832031
23,4.287046432495117
24,0.3773231506347656
25,0.14765167236328125
26,0.6062355041503906
27,0.9570827484130859
28,0.3000164031982422
29,1.4057903289794922
30,1.3969230651855469
31,1.188547134399414
32,0.8420944213867188
33,0.15421295166015625
34,2.8772449493408203
35,0.1715545654296875
36,2.250612258911133
37,0.5295391082763672
38,5.248682022094727
39,2.1372432708740234
40,0.26657867431640625
41,6.008260726928711
42,6.270225524902344
43,8.318193435668945
