,0
0,15.375129699707031
1,21.563913345336914
2,19.193021774291992
3,16.702280044555664
4,16.71247673034668
5,17.303565979003906
6,13.656381607055664
7,18.29688262939453
8,17.44038200378418
9,14.044317245483398
10,19.28838348388672
11,18.9912052154541
12,20.05351448059082
13,18.291757583618164
14,21.202556610107422
15,20.007076263427734
16,22.754119873046875
17,19.153898239135742
18,19.354183197021484
19,23.9284725189209
20,21.827062606811523
21,21.1569766998291
22,21.875696182250977
23,27.748123168945312
24,25.954843521118164
25,24.137535095214844
26,22.234373092651367
27,23.6511287689209
28,24.574975967407227
29,27.144067764282227
30,24.250165939331055
31,24.94266700744629
32,25.47821044921875
33,26.222867965698242
34,21.921234130859375
35,27.741464614868164
36,30.359420776367188
37,34.064903259277344
38,25.276960372924805
39,31.36664390563965
40,34.35437774658203
41,29.5992431640625
42,27.737079620361328
43,28.243934631347656
