,0
0,0.08135861158370972
1,0.028204381465911865
2,0.09351776540279388
3,0.044619470834732056
4,0.5266426801681519
5,0.5202430486679077
6,0.5047301054000854
7,0.5994933843612671
8,0.5111099481582642
9,1.843757152557373
10,1.5124269723892212
11,1.9366285800933838
12,1.8217110633850098
13,3.962348699569702
14,1.8704872131347656
15,1.7094570398330688
16,3.7422635555267334
17,3.870927572250366
18,3.661799907684326
19,4.876873970031738
20,3.22489333152771
21,7.1168670654296875
22,5.6307878494262695
23,5.401456832885742
24,9.18112564086914
25,6.265137672424316
26,6.755629539489746
27,6.268121719360352
28,8.716100692749023
29,11.538366317749023
30,9.078704833984375
31,8.381450653076172
32,11.180749893188477
33,8.996381759643555
34,11.302942276000977
35,8.078282356262207
36,11.677897453308105
37,10.325915336608887
38,13.947202682495117
39,8.77026653289795
40,10.385910987854004
41,16.826831817626953
42,12.92202091217041
43,14.33630084991455
